checkpoint_id,quiz_order,content,correct,answer_1,answer_2,answer_3
2,1,池田市観光案内所で販売されていないものは何でしょうか？,店主のサイン色紙,食べ物,店主のサイン色紙,お酒
2,2,池田市観光案内所で販売されているハンバーガーは何のカツが使われているでしょうか？,チキンカツ,ポイ活,マグロカツ,チキンカツ
2,3,池田市観光案内所ではプレミアムキチンラーメンを販売しています。トッピングをすることでどんなアレンジメニューが作れるでしょうか？,カルボナーラ,カルボナーラ,カツ丼,ショートケーキ
3,1,まがり書房では何を販売しているでしょうか？,本,動物,食品,本
3,2,まがり書房のマスコットキャラクターは何の動物でしょうか？,犬,犬,はにわ,ドラゴン
3,3,まがり書房の本棚は何でできているでしょうか？,木材,大理石,スポンジ,木材
4,1,ビリケンさんはとある観光名所で有名です。それはどこでしょうか？,通天閣,USJ,通天閣,なんばパークス
4,2,「井戸の辻」はどの時代のものでしょうか？,江戸時代,縄文時代,江戸時代,令和時代
4,3,井戸の直径はどのくらいあるでしょうか？,1メートル,1メートル,１００ミリメートル,２０メートル
5,1,落語みゅーじあむの名誉館長を務める人は誰でしょうか？,桂文枝,桂文枝,菅田将暉,ガチャピン
5,2,第１６回社会人落語日本一決定戦の予選に国外から参加した人がいます。その参加者の出身国はどこでしょうか？,アメリカ,バルバドス,ニウエ,アメリカ
5,3,第１６回社会人落語日本一決定戦の決勝戦が行われる日はいつでしょうか？,１２月８日,２月３１日,１２月８日,１月１日
6,1,池田城の天守閣についているのは何でしょうか？,シャチホコ,コイ,エビ,シャチホコ
6,2,池田城天守閣はどこにあるでしょうか？,城跡公園,城跡公園,カップヌードルミュージアム,五月山動物園
6,3,池田城はいつ廃城になったでしょうか？（ヒント：天守閣の中に説明があります）,1600年頃（戦国時代）,1100年頃（平安時代）,1600年頃（戦国時代）,2000年頃（平成時代）
7,1,Shokuの店は何を扱っているでしょうか？,ラオスの生地を使った服,ラオス製のトゥクトゥク,ラオスの伝統料理,ラオスの生地を使った服
7,2,ラオスはどこにあるでしょうか？,東南アジア,東ヨーロッパ,東南アジア,南米
7,3,Shokuの店はどこにあるでしょうか？,菁菁苑,叙々苑,菁菁苑,広辞苑
